,game_id,play_id,drive,home_team,away_team,season_type,week,season,posteam,defteam,side_of_field,yardline_100,yrdln,half_seconds_remaining,game_seconds_remaining,game_half,sp,qtr,down,goal_to_go,ydstogo,desc,penalty,play,special_teams_play,play_type_nfl,aborted_play,play_type,rush_attempt,pass_attempt,yards_gained,shotgun,qb_dropback,qb_scramble,pass_length,pass_location,run_location,run_gap,pass,rush,special,play_deleted,qb_spike,qb_kneel,passing_yards,receiving_yards,rushing_yards,score_differential,epa,wp,wpa,fourth_down_converted,fourth_down_failed,passer_player_id,passer_player_name,receiver_player_id,receiver_player_name,rusher_player_id,rusher_player_name,home_coach,away_coach,offense_formation,route,defenders_in_box,number_of_pass_rushers,defense_man_zone_type,defense_coverage_type
23118,2021_14_DET_DEN,1247.0,6.0,DEN,DET,REG,14,2021,DET,DEN,50,50.0,MID 50,533.0,2333.0,Half1,0.0,2.0,4.0,0.0,1.0,(8:53) (Shotgun) 16-J.Goff pass short right to 11-K.Raymond pushed ob at DEN 41 for 9 yards (23-K.Fuller).,0.0,1.0,0.0,PASS,0.0,pass,0.0,1.0,9.0,1.0,1.0,0.0,short,right,,,1.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,,-7.0,2.4750012014992535,0.27388352155685425,0.07093611359596252,1.0,0.0,00-0033106,J.Goff,00-0032464,K.Raymond,,,Vic Fangio,Dan Campbell,SHOTGUN,OUT,8.0,6.0,MAN_COVERAGE,COVER_0
23119,2021_14_DET_DEN,1377.0,6.0,DEN,DET,REG,14,2021,DET,DEN,DEN,18.0,DEN 18,399.0,2199.0,Half1,1.0,2.0,4.0,0.0,6.0,"(6:39) 6-R.Patterson 36 yard field goal is GOOD, Center-47-S.Daly, Holder-3-J.Fox.",0.0,0.0,0.0,FIELD_GOAL,0.0,field_goal,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,1.0,0.0,0.0,0.0,,,,-7.0,0.3917948871709096,0.31767961382865906,0.013448327779769897,0.0,0.0,,,,,,,Vic Fangio,Dan Campbell,,,,,,
23120,2021_14_DET_DEN,1520.0,7.0,DEN,DET,REG,14,2021,DEN,DET,DEN,61.0,DEN 39,191.0,1991.0,Half1,0.0,2.0,4.0,0.0,8.0,"(3:11) 6-S.Martin punts 41 yards to DET 20, Center-46-J.Bobenmoyer, fair catch by 11-K.Raymond.",0.0,0.0,1.0,PUNT,0.0,punt,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,1.0,0.0,0.0,0.0,,,,4.0,0.09865909873042256,0.6251310110092163,0.010041207075119019,0.0,0.0,,,,,,,Vic Fangio,Dan Campbell,,,,,,
23121,2021_14_DET_DEN,1707.0,8.0,DEN,DET,REG,14,2021,DET,DEN,DET,63.0,DET 37,76.0,1876.0,Half1,0.0,2.0,4.0,0.0,5.0,"(1:16) 3-J.Fox punts 52 yards to DEN 11, Center-47-S.Daly. 11-D.Spencer to DEN 22 for 11 yards (38-C.Moore; 89-B.Wright).",0.0,0.0,1.0,PUNT,0.0,punt,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,1.0,0.0,0.0,0.0,,,,-4.0,-0.5771154015092179,0.33350011706352234,0.0029297173023223877,0.0,0.0,,,,,,,Vic Fangio,Dan Campbell,,,,,,
23122,2021_14_DET_DEN,2365.0,12.0,DEN,DET,REG,14,2021,DET,DEN,DET,67.0,DET 33,1431.0,1431.0,Half2,0.0,3.0,4.0,0.0,2.0,(8:51) (Shotgun) 16-J.Goff pass incomplete short right to 84-S.Zylstra (93-D.Jones).,0.0,1.0,0.0,PASS,0.0,pass,0.0,1.0,0.0,1.0,1.0,0.0,short,right,,,1.0,0.0,0.0,0.0,0.0,0.0,,,,-14.0,-3.0159542572218925,0.07605386525392532,-0.022138066589832306,0.0,1.0,00-0033106,J.Goff,00-0036534,S.Zylstra,,,Vic Fangio,Dan Campbell,SHOTGUN,OUT,6.0,4.0,ZONE_COVERAGE,COVER_6
23123,2021_14_DET_DEN,2616.0,14.0,DEN,DET,REG,14,2021,DET,DEN,DET,56.0,DET 44,1154.0,1154.0,Half2,0.0,3.0,4.0,0.0,2.0,(4:14) 35-G.Igwebuike up the middle to DET 48 for 4 yards (55-B.Chubb).,0.0,1.0,0.0,RUSH,0.0,run,1.0,0.0,4.0,0.0,0.0,0.0,,,middle,,0.0,1.0,0.0,0.0,0.0,0.0,,,4.0,-21.0,2.7625451972708106,0.022087998688220978,0.0012344438582658768,1.0,0.0,,,,,00-0034614,G.Igwebuike,Vic Fangio,Dan Campbell,SINGLEBACK,,6.0,,,
23124,2021_14_DET_DEN,2859.0,14.0,DEN,DET,REG,14,2021,DET,DEN,DEN,34.0,DEN 34,900.0,900.0,Half2,0.0,4.0,4.0,0.0,4.0,"(15:00) (Shotgun) 16-J.Goff pass short left to 14-A.St. Brown ran ob at DEN 15 for 19 yards (30-C.Sterns). PENALTY on DEN-30-C.Sterns, Unnecessary Roughness, 8 yards, enforced at DEN 15.",1.0,1.0,0.0,PASS,0.0,pass,0.0,1.0,19.0,1.0,1.0,0.0,short,left,,,1.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,,-21.0,4.3961539817391895,0.017687376588582993,0.009799765422940254,1.0,0.0,00-0033106,J.Goff,00-0036963,A.St. Brown,,,Vic Fangio,Dan Campbell,EMPTY,CROSS,3.0,5.0,MAN_COVERAGE,COVER_1
23125,2021_14_DET_DEN,2985.0,14.0,DEN,DET,REG,14,2021,DET,DEN,DEN,4.0,DEN 4,797.0,797.0,Half2,0.0,4.0,4.0,1.0,4.0,(13:17) (Shotgun) 16-J.Goff pass incomplete short left to 84-S.Zylstra (22-K.Jackson) [55-B.Chubb].,0.0,1.0,0.0,PASS,0.0,pass,0.0,1.0,0.0,1.0,1.0,0.0,short,left,,,1.0,0.0,0.0,0.0,0.0,0.0,,,,-21.0,-2.682453129265923,0.015445872209966183,-0.011614426039159298,0.0,1.0,00-0033106,J.Goff,00-0036534,S.Zylstra,,,Vic Fangio,Dan Campbell,SHOTGUN,HITCH,7.0,4.0,MAN_COVERAGE,COVER_1
23126,2021_14_DET_DEN,3077.0,15.0,DEN,DET,REG,14,2021,DEN,DET,DEN,95.0,DEN 5,699.0,699.0,Half2,0.0,4.0,4.0,0.0,10.0,"(11:39) 6-S.Martin punts 42 yards to DEN 47, Center-46-J.Bobenmoyer. 11-K.Raymond to DET 49 for -4 yards (30-C.Sterns; 50-J.Griffith).",0.0,0.0,1.0,PUNT,0.0,punt,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,1.0,0.0,0.0,0.0,,,,21.0,-0.19225548300892115,0.994073212146759,-0.008314155042171478,0.0,0.0,,,,,,,Vic Fangio,Dan Campbell,,,,,,
23127,2021_14_DET_DEN,3469.0,17.0,DEN,DET,REG,14,2021,DEN,DET,DET,41.0,DET 41,243.0,243.0,Half2,0.0,4.0,4.0,0.0,2.0,(4:03) (Shotgun) 5-T.Bridgewater pass short middle to 10-J.Jeudy to DET 20 for 21 yards (38-C.Moore; 52-J.Lemonier).,0.0,1.0,0.0,PASS,0.0,pass,0.0,1.0,21.0,1.0,1.0,0.0,short,middle,,,1.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,,21.0,2.791614563728217,0.9992011189460754,0.0003789663314819336,1.0,0.0,00-0031237,T.Bridgewater,00-0036407,J.Jeudy,,,Vic Fangio,Dan Campbell,SHOTGUN,SLANT,6.0,3.0,MAN_COVERAGE,COVER_1
